store_id,day,open_time_hours,previous_sales,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,sales_today
7,Thursday,13.5,23.9,0,0,0,1,0,0,41
7,Tuesday,5.6,29.5,0,0,0,0,1,0,30
6,Friday,13.7,17.2,0,0,0,0,0,0,37
5,Monday,7.0,4.3,1,0,0,0,0,0,20
1,Wednesday,10.1,17.4,0,0,0,0,0,1,27
3,Thursday,9.1,16.7,0,0,0,1,0,0,27
3,Sunday,5.7,16.4,0,0,1,0,0,0,25
4,Thursday,8.4,19.9,0,0,0,1,0,0,25
3,Saturday,7.9,23.4,0,1,0,0,0,0,32
6,Saturday,9.5,21.3,0,1,0,0,0,0,38
8,Saturday,6.0,19.3,0,1,0,0,0,0,28
2,Sunday,12.3,11.9,0,0,1,0,0,0,31
9,Friday,12.0,15.9,0,0,0,0,0,0,35
8,Sunday,12.2,26.2,0,0,1,0,0,0,43
1,Wednesday,4.7,15.0,0,0,0,0,0,1,19
7,Monday,10.2,17.1,1,0,0,0,0,0,27
7,Saturday,7.3,24.9,0,1,0,0,0,0,38
3,Monday,7.8,14.4,1,0,0,0,0,0,25
7,Wednesday,9.2,17.6,0,0,0,0,0,1,28
3,Sunday,13.0,35.8,0,0,1,0,0,0,43
4,Saturday,5.4,25.2,0,1,0,0,0,0,38
4,Friday,4.8,15.1,0,0,0,0,0,0,21
2,Tuesday,12.1,25.5,0,0,0,0,1,0,36
4,Saturday,12.8,15.4,0,1,0,0,0,0,36
9,Sunday,13.1,25.1,0,0,1,0,0,0,37
9,Thursday,7.5,14.8,0,0,0,1,0,0,22
9,Saturday,6.2,17.9,0,1,0,0,0,0,26
6,Monday,8.0,19.9,1,0,0,0,0,0,26
7,Tuesday,11.1,17.3,0,0,0,0,1,0,29
1,Monday,6.4,19.8,1,0,0,0,0,0,20
6,Sunday,10.7,15.3,0,0,1,0,0,0,35
6,Friday,10.3,23.5,0,0,0,0,0,0,41
1,Monday,7.2,30.2,1,0,0,0,0,0,33
3,Tuesday,9.1,23.9,0,0,0,0,1,0,26
4,Monday,10.9,23.7,1,0,0,0,0,0,32
1,Wednesday,7.4,17.9,0,0,0,0,0,1,27
10,Monday,9.2,20.4,1,0,0,0,0,0,30
7,Monday,6.8,24.9,1,0,0,0,0,0,28
4,Saturday,11.8,15.9,0,1,0,0,0,0,36
8,Thursday,13.0,21.8,0,0,0,1,0,0,33
2,Saturday,9.5,26.3,0,1,0,0,0,0,41
9,Thursday,11.1,15.5,0,0,0,1,0,0,26
4,Sunday,11.2,22.5,0,0,1,0,0,0,31
3,Saturday,6.7,25.3,0,1,0,0,0,0,32
2,Friday,9.0,18.4,0,0,0,0,0,0,38
5,Thursday,11.2,13.6,0,0,0,1,0,0,30
5,Saturday,7.7,22.8,0,1,0,0,0,0,33
3,Thursday,12.5,14.9,0,0,0,1,0,0,26
7,Monday,7.2,21.3,1,0,0,0,0,0,22
6,Tuesday,13.3,13.1,0,0,0,0,1,0,34
10,Tuesday,7.2,22.7,0,0,0,0,1,0,32
10,Sunday,8.2,23.9,0,0,1,0,0,0,29
10,Sunday,9.0,23.4,0,0,1,0,0,0,38
3,Sunday,4.3,10.6,0,0,1,0,0,0,27
6,Wednesday,8.7,9.3,0,0,0,0,0,1,24
10,Tuesday,4.3,14.6,0,0,0,0,1,0,17
1,Friday,6.7,19.7,0,0,0,0,0,0,29
6,Friday,5.9,30.0,0,0,0,0,0,0,29
8,Thursday,5.3,19.4,0,0,0,1,0,0,22
3,Thursday,11.4,15.6,0,0,0,1,0,0,28
7,Sunday,11.0,12.8,0,0,1,0,0,0,31
1,Sunday,6.5,30.6,0,0,1,0,0,0,36
8,Friday,6.8,32.7,0,0,0,0,0,0,37
7,Wednesday,6.5,27.6,0,0,0,0,0,1,27
9,Friday,5.2,22.7,0,0,0,0,0,0,29
10,Tuesday,8.9,12.2,0,0,0,0,1,0,23
5,Sunday,4.5,20.0,0,0,1,0,0,0,29
8,Friday,10.8,23.4,0,0,0,0,0,0,35
2,Monday,12.7,27.0,1,0,0,0,0,0,38
2,Wednesday,10.4,32.8,0,0,0,0,0,1,31
5,Thursday,7.9,21.7,0,0,0,1,0,0,26
1,Tuesday,7.2,16.5,0,0,0,0,1,0,26
4,Tuesday,11.0,25.4,0,0,0,0,1,0,34
4,Monday,12.0,15.0,1,0,0,0,0,0,28
9,Wednesday,13.9,9.3,0,0,0,0,0,1,26
7,Sunday,13.3,18.7,0,0,1,0,0,0,41
7,Monday,6.4,23.8,1,0,0,0,0,0,19
4,Monday,7.2,18.6,1,0,0,0,0,0,27
9,Wednesday,4.9,21.9,0,0,0,0,0,1,23
4,Wednesday,8.9,26.7,0,0,0,0,0,1,38
5,Thursday,13.5,17.9,0,0,0,1,0,0,35
5,Tuesday,13.7,21.9,0,0,0,0,1,0,40
2,Sunday,5.4,23.7,0,0,1,0,0,0,33
6,Sunday,8.3,17.0,0,0,1,0,0,0,26
10,Tuesday,4.8,11.3,0,0,0,0,1,0,13
4,Monday,13.5,15.7,1,0,0,0,0,0,31
6,Sunday,8.2,18.2,0,0,1,0,0,0,31
10,Thursday,5.2,21.9,0,0,0,1,0,0,22
1,Wednesday,9.8,19.3,0,0,0,0,0,1,31
1,Monday,12.7,21.3,1,0,0,0,0,0,33
5,Thursday,9.5,20.1,0,0,0,1,0,0,31
9,Monday,11.0,32.9,1,0,0,0,0,0,35
6,Wednesday,13.0,33.1,0,0,0,0,0,1,38
8,Tuesday,5.9,7.3,0,0,0,0,1,0,15
2,Thursday,4.8,22.1,0,0,0,1,0,0,29
1,Friday,12.1,14.6,0,0,0,0,0,0,34
3,Friday,13.4,30.1,0,0,0,0,0,0,37
9,Tuesday,4.8,20.9,0,0,0,0,1,0,25
5,Sunday,8.1,19.4,0,0,1,0,0,0,36
1,Wednesday,9.9,22.0,0,0,0,0,0,1,31
1,Friday,4.6,22.1,0,0,0,0,0,0,31
5,Saturday,13.1,29.6,0,1,0,0,0,0,46
10,Tuesday,7.8,15.6,0,0,0,0,1,0,22
1,Wednesday,6.7,22.0,0,0,0,0,0,1,26
8,Tuesday,7.6,22.0,0,0,0,0,1,0,24
2,Saturday,11.7,27.1,0,1,0,0,0,0,41
6,Thursday,9.6,18.5,0,0,0,1,0,0,32
7,Sunday,11.8,26.9,0,0,1,0,0,0,42
7,Saturday,10.2,20.3,0,1,0,0,0,0,36
2,Saturday,9.5,21.5,0,1,0,0,0,0,34
9,Saturday,8.5,18.4,0,1,0,0,0,0,34
10,Wednesday,11.0,18.8,0,0,0,0,0,1,35
1,Tuesday,11.7,10.9,0,0,0,0,1,0,30
3,Sunday,5.3,22.2,0,0,1,0,0,0,26
8,Thursday,7.5,19.6,0,0,0,1,0,0,29
2,Friday,5.9,15.1,0,0,0,0,0,0,22
5,Saturday,5.2,11.4,0,1,0,0,0,0,23
2,Monday,9.0,19.4,1,0,0,0,0,0,27
9,Sunday,10.3,25.1,0,0,1,0,0,0,35
1,Wednesday,5.8,16.7,0,0,0,0,0,1,19
6,Saturday,10.2,16.2,0,1,0,0,0,0,27
10,Saturday,5.5,22.4,0,1,0,0,0,0,28
7,Saturday,11.5,13.0,0,1,0,0,0,0,29
9,Sunday,7.8,16.1,0,0,1,0,0,0,26
9,Monday,7.4,6.9,1,0,0,0,0,0,18
9,Friday,8.8,29.4,0,0,0,0,0,0,37
8,Monday,9.6,10.9,1,0,0,0,0,0,20
4,Tuesday,10.1,19.9,0,0,0,0,1,0,24
6,Friday,13.3,18.8,0,0,0,0,0,0,29
8,Sunday,12.4,21.0,0,0,1,0,0,0,41
4,Sunday,12.2,15.7,0,0,1,0,0,0,33
3,Saturday,13.3,32.3,0,1,0,0,0,0,51
3,Friday,11.7,16.6,0,0,0,0,0,0,30
3,Thursday,9.1,17.2,0,0,0,1,0,0,26
10,Saturday,6.9,13.2,0,1,0,0,0,0,28
4,Friday,9.3,19.1,0,0,0,0,0,0,29
10,Friday,4.6,16.4,0,0,0,0,0,0,25
5,Monday,11.6,15.7,1,0,0,0,0,0,36
7,Wednesday,7.5,21.0,0,0,0,0,0,1,27
3,Wednesday,13.3,23.5,0,0,0,0,0,1,38
5,Saturday,12.0,17.3,0,1,0,0,0,0,38
3,Wednesday,10.3,18.4,0,0,0,0,0,1,31
10,Monday,10.8,30.6,1,0,0,0,0,0,34
3,Friday,7.0,20.1,0,0,0,0,0,0,33
9,Monday,13.0,25.0,1,0,0,0,0,0,29
8,Wednesday,9.4,8.8,0,0,0,0,0,1,21
3,Tuesday,5.4,23.1,0,0,0,0,1,0,28
4,Saturday,12.9,17.1,0,1,0,0,0,0,39
1,Friday,6.5,29.1,0,0,0,0,0,0,33
10,Monday,5.0,6.5,1,0,0,0,0,0,17
8,Thursday,8.0,17.3,0,0,0,1,0,0,27
4,Thursday,11.7,20.2,0,0,0,1,0,0,32
4,Thursday,11.2,27.1,0,0,0,1,0,0,36
10,Saturday,6.3,9.9,0,1,0,0,0,0,23
10,Friday,5.4,18.4,0,0,0,0,0,0,23
8,Thursday,9.9,27.2,0,0,0,1,0,0,35
10,Monday,8.2,21.1,1,0,0,0,0,0,27
6,Wednesday,8.5,35.2,0,0,0,0,0,1,37
5,Sunday,4.5,26.4,0,0,1,0,0,0,28
5,Tuesday,7.3,25.1,0,0,0,0,1,0,21
6,Tuesday,8.7,25.0,0,0,0,0,1,0,30
3,Saturday,5.8,3.8,0,1,0,0,0,0,21
8,Monday,7.6,31.1,1,0,0,0,0,0,35
2,Friday,9.2,19.8,0,0,0,0,0,0,32
4,Saturday,12.6,12.0,0,1,0,0,0,0,35
7,Monday,7.1,11.8,1,0,0,0,0,0,15
8,Wednesday,7.5,33.5,0,0,0,0,0,1,32
8,Wednesday,4.7,18.5,0,0,0,0,0,1,26
2,Saturday,8.4,27.5,0,1,0,0,0,0,30
4,Monday,7.3,20.7,1,0,0,0,0,0,25
10,Tuesday,13.0,28.5,0,0,0,0,1,0,38
7,Thursday,12.4,18.5,0,0,0,1,0,0,36
9,Sunday,6.5,20.2,0,0,1,0,0,0,25
8,Saturday,7.4,25.8,0,1,0,0,0,0,35
8,Tuesday,12.1,20.1,0,0,0,0,1,0,32
4,Thursday,10.7,16.1,0,0,0,1,0,0,26
2,Sunday,10.3,24.1,0,0,1,0,0,0,38
3,Thursday,10.4,23.2,0,0,0,1,0,0,33
5,Thursday,7.4,17.2,0,0,0,1,0,0,28
7,Thursday,12.3,27.1,0,0,0,1,0,0,35
9,Tuesday,12.6,17.9,0,0,0,0,1,0,32
8,Wednesday,12.9,18.0,0,0,0,0,0,1,37
3,Monday,6.7,32.9,1,0,0,0,0,0,33
7,Monday,5.4,12.3,1,0,0,0,0,0,19
7,Friday,4.2,10.2,0,0,0,0,0,0,21
1,Friday,10.5,17.2,0,0,0,0,0,0,33
10,Saturday,5.4,29.7,0,1,0,0,0,0,38
9,Friday,5.8,19.1,0,0,0,0,0,0,28
10,Saturday,4.5,23.1,0,1,0,0,0,0,27
3,Friday,10.0,16.3,0,0,0,0,0,0,26
